name_id,component_id,component_name,primary_name,botanical_name
1,1,16oz Amber Glass Boston Round 28-400,1,0
2,2,225cc Amber PET 45-400,1,0
3,3,8oz Amber Glass Boston Round 28-400,1,0
4,4,14oz White HDPE 89-400,1,0
5,5,16oz White HDPE 89-400,1,0
6,6,16oz White PET 89-400,1,0
7,7,11oz Prebiotic Fiber,1,0
8,8,150cc Amber Glass,1,0
9,9,16oz Green PET 89-400,1,0
10,10,19oz Cobalt Blue PET 89-400,1,0
11,11,19oz Dark Green PET 89-400,1,0
12,12,19oz White HDPE 89-400,1,0
13,13,20oz Cobalt Blue PET 89-400,1,0
14,14,20oz White HDPE,1,0
15,15,2000cc White PET 110-400,1,0
16,16,200cc Amber Glass Packer 45-400,1,0
17,17,20oz Dark Green PET,1,0
18,18,225cc Clear PET 45-400,1,0
19,19,225g Markus Sweet,1,0
20,20,25oz White HDPE,1,0
21,21,25oz White HDPE Widemouth,1,0
22,22,250cc Amber Glass,1,0
23,23,2500cc White HDPE 110-400,1,0
24,24,250cc Dark Green PET 45-400,1,0
25,25,2LB Markus 3in1,1,0
26,26,2LB Markus Super Plant Protein,1,0
27,27,36oz White HDPE,1,0
28,28,400cc White HDPE 45-400,1,0
29,29,430g Markus Wildforce Green Formula,1,0
30,30,45-400 Amber,1,0
31,31,625cc White HDPE 53-400,1,0
32,32,8oz White HDPE,1,0
33,33,908g Markus Sweet,1,0
34,34,225cc White HDPE 45-400,1,0
35,35,150cc White HDPE 38-400,1,0
36,36,505x320 Paper Tube Pet Immune,1,0
37,37,175cc White HDPE,1,0
38,38,150cc White HDPE,1,0
39,39,400cc Amber Glass 53-400,1,0
40,40,8oz White PET,1,0
41,41,200cc White PET,1,0
42,42,16oz Black Seed Oil ~ Maju,1,0
43,43,8oz Black Seed Oil ~ Maju,1,0
44,44,60ct Black Seed Oil ~ Maju,1,0
45,45,908g Spirulina ~ Maju,1,0
46,46,453g Maca ~ Vita-Myr,1,0
47,47,453g Organic Moringa Leaf Cambodia ~ Maju,1,0
48,48,453g Organic Moringa Leaf India ~ Maju,1,0
49,49,220ct Age Free ~ Markus,1,0
50,50,170g Age Free ~ Markus,1,0
51,51,170g Ashwagandha ~ Maju,1,0
52,52,120g Beet Root ~ Immune Solution,1,0
53,53,265g Best Start ~ Enerex,1,0
54,54,220ct Charconite ~ Markus,1,0
55,55,453g Essential Greens ~ Herbally Grounded,1,0
56,56,220ct Free Colon ~ Markus,1,0
57,57,170g Free Colon ~ Markus,1,0
58,58,220ct Free Liver ~ Markus,1,0
59,59,170g Free Liver ~ Markus,1,0
60,60,330g Happy Time ~ Markus,1,0
61,61,350ct Happy Time ~ Markus,1,0
62,62,220ct Heart Formula ~ Markus,1,0
63,63,170g Heart Formula ~ Markus,1,0
64,64,240ct Hemroid Harry ~ Herbally Grounded,1,0
65,65,Dutch Chocolate Whey Protein ~ Holistic Life,1,0
66,66,Tahitian Vanilla Whey Protein- Holistic Life,1,0
67,67,120ct Inca Gold Peruvian Maca ~ Vita-Myr,1,0
